GPU: NVIDIA B200  HV=64 K=V=128 bf16 | CUPTI cold-L2 median of 500, cadence 4.5

   B |  verify4  verify16  flush16    fold4   fold13 |       A1    RS_v1    RS_kB |  kBvsA1  kBvsV1
---------------------------------------------------------------------------------------------------
   1 |     5.18      5.38     8.99     5.92    14.85 |    11.10     8.68     6.18 |   1.80x   1.40x
   2 |     5.73      6.08     9.76     6.33    14.40 |    12.06     9.28     6.90 |   1.75x   1.35x
   4 |     6.37      7.36    12.51     8.70    20.00 |    15.07    11.80     8.50 |   1.77x   1.39x
   8 |     7.84      8.93    17.28    13.38    34.43 |    21.22    16.58    10.78 |   1.97x   1.54x
  16 |    10.56     12.90    35.97    22.30    58.37 |    32.86    25.87    18.02 |   1.82x   1.44x
  32 |    19.07     22.94    58.98    40.83   109.44 |    59.90    47.26    30.95 |   1.94x   1.53x
  64 |    35.26     40.54   107.36    73.54   205.79 |   108.80    86.28    55.39 |   1.96x   1.56x
 128 |    61.79     71.30   209.47   137.44   389.44 |   199.23   157.84   102.00 |   1.95x   1.55x
 256 |   113.79    131.97   410.19   265.44   756.67 |   379.23   300.12   193.80 |   1.96x   1.55x
