GPU: NVIDIA B200  H=16 HV=64 K=V=128

[test-mild B=8] 18 iterations, T=4 drafts/iter, window=16
 it         h  acc |     seq16    branch   wy2call    REPLAY |  rp-vs-wy  nan | flush(ckpt drift: kernel/prod vs fp32)
  0       0-0  2.5 |  2.08e-04  4.88e-04  9.39e-04  9.39e-04 |  0.00e+00    0 | 
  1       1-4  2.0 |  1.69e-04  3.25e-04  5.25e-04  5.25e-04 |  4.88e-04    0 | 
  2       2-6  2.2 |  1.93e-04  1.87e-04  2.97e-04  2.97e-04 |  2.44e-04    0 | 
  3       4-9  2.2 |  7.65e-05  1.29e-04  3.94e-04  3.94e-04 |  2.44e-04    0 | FLUSH#1 1.95e-03/2.22e-03
  4       0-0  2.9 |  5.42e-05  1.25e-04  2.91e-04  2.91e-04 |  2.44e-04    0 | 
  5       1-4  2.6 |  5.75e-05  2.40e-04  3.17e-04  3.17e-04 |  2.44e-04    0 | 
  6       4-8  1.8 |  6.56e-05  1.24e-04  3.35e-04  3.35e-04 |  1.22e-04    0 | 
  7       5-9  3.0 |  5.81e-05  1.21e-04  3.93e-04  3.93e-04 |  2.44e-04    0 | 
  8      7-12  2.2 |  5.75e-05  1.26e-04  3.47e-04  3.47e-04 |  2.44e-04    0 | FLUSH#2 1.94e-03/2.13e-03
  9       0-0  2.1 |  5.82e-05  1.23e-04  4.70e-04  4.70e-04 |  2.44e-04    0 | 
 10       1-4  2.9 |  5.14e-05  1.21e-04  3.80e-04  3.14e-04 |  2.44e-04    0 | 
 11       2-7  2.8 |  4.69e-05  1.20e-04  3.85e-04  3.85e-04 |  1.22e-04    0 | 
 12      3-11  2.8 |  5.32e-05  1.23e-04  3.22e-04  3.22e-04 |  2.44e-04    0 | FLUSH#3 1.94e-03/2.37e-03
 13       0-0  3.0 |  5.69e-05  1.22e-04  2.54e-04  2.54e-04 |  2.44e-04    0 | 
 14       1-4  2.6 |  6.39e-05  1.19e-04  3.05e-04  3.08e-04 |  2.44e-04    0 | 
