GPU: NVIDIA B200  H=16 HV=64 K=V=128

[test-mild B=8] 20 iters, per-request flush (h > 8)
 it         h   f% |     seq16    branch   wy2call    REPLAY |  nan | flushed-slot drift kernel/prod vs fp32
  0       0-0    0 |  2.08e-04  4.88e-04  9.39e-04  9.39e-04 |    0 | 
  1       1-4    0 |  1.77e-04  3.28e-04  3.82e-04  3.75e-04 |    0 | 
  2       2-6    0 |  1.66e-04  2.55e-04  2.79e-04  2.79e-04 |    0 | 
  3       3-9   12 |  1.24e-04  1.41e-04  4.22e-04  4.81e-04 |    0 | 1fl 4.15e-03/1.93e-03
  4      4-12   25 |  9.75e-05  1.20e-04  4.10e-04  4.10e-04 |    0 | 2fl 6.57e-03/2.06e-03
  5      1-11   12 |  5.80e-05  2.41e-04  3.38e-04  3.38e-04 |    0 | 1fl 5.36e-03/1.87e-03
  6       1-9   25 |  5.10e-05  1.21e-04  3.88e-04  3.88e-04 |    0 | 2fl 5.76e-03/2.04e-03
  7       1-9   12 |  5.58e-05  1.22e-04  3.65e-04  3.65e-04 |    0 | 1fl 3.45e-03/1.94e-03
  8       3-9   12 |  4.82e-05  2.06e-04  3.38e-04  3.38e-04 |    0 | 1fl 5.75e-03/2.00e-03
  9      1-10   50 |  5.54e-05  1.25e-04  4.59e-04  4.59e-04 |    0 | 4fl 5.59e-03/2.02e-03
 10      1-11   25 |  7.28e-05  1.22e-04  2.98e-04  2.86e-04 |    0 | 2fl 5.54e-03/2.20e-03
 11       2-7    0 |  5.96e-05  1.15e-04  4.04e-04  4.04e-04 |    0 | 
 12       3-9   12 |  7.38e-05  1.21e-04  3.50e-04  4.52e-04 |    0 | 1fl 4.46e-03/1.94e-03
 13       1-9   12 |  5.20e-05  1.20e-04  3.09e-04  3.09e-04 |    0 | 1fl 5.48e-03/1.92e-03
 14      3-10   25 |  6.12e-05  1.22e-04  3.40e-04  3.40e-04 |    0 | 2fl 4.34e-03/2.00e-03
 15      1-12   25 |  5.59e-05  1.24e-04  4.14e-04  4.14e-04 |    0 | 2fl 5.69e-03/2.19e-03
 16       1-7    0 |  6.24e-05  1.22e-04  3.96e-04  3.96e-04 |    0 | 
 17      4-11   12 |  5.42e-05  1.22e-04  3.37e-04  3.37e-04 |    0 | 1fl 5.25e-03/1.85e-03
 18       3-9   37 |  4.87e-05  1.24e-04  3.31e-04  3.31e-04 |    0 | 3fl 4.85e-03/2.09e-03
 19      1-10   12 |  6.24e-05  2.45e-04  3.57e-04  3.57e-04 |    0 | 1fl 4.83e-03/2.98e-03
  -> 25 request-flush events in 20 iterations

[test-mild B=256] 20 iters, per-request flush (h > 8)
 it         h   f% |     seq16    branch   wy2call    REPLAY |  nan | flushed-slot drift kernel/prod vs fp32
  0       0-0    0 |  2.28e-04  4.88e-04  9.46e-04  9.46e-04 |    0 | 
  1       1-4    0 |  2.31e-04  3.71e-04  5.14e-04  4.90e-04 |    0 | 
  2       2-8    0 |  1.77e-04  2.92e-04  5.13e-04  5.13e-04 |    0 | 
  3      3-12   10 |  1.12e-04  2.29e-04  4.81e-04  5.66e-04 |    0 | 27fl 6.11e-03/2.33e-03
  4      1-12   18 |  8.57e-05  2.44e-04  4.67e-04  4.63e-04 |    0 | 48fl 6.75e-03/2.45e-03
  5      1-12   19 |  8.99e-05  2.35e-04  5.39e-04  4.58e-04 |    0 | 49fl 6.03e-03/2.16e-03
  6      1-11   18 |  7.47e-05  2.30e-04  4.78e-04  4.78e-04 |    0 | 47fl 6.25e-03/2.39e-03
